Model,QWK_mean,QWK_std,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,MAE_mean,MAE_std,Regime
Linear Probe + CE,0.8389260976814904,0.012185011907177806,0.7970662620131512,0.0037851870377076137,0.6011151349234761,0.014424479588234987,0.2912493677288821,0.010656302747406109,3 seeds x 5-fold
MLP + CE,0.8782542452366354,0.002193959507491395,0.8056651492159839,0.001222361757571499,0.6271189054534384,0.00210404879104611,0.25897824987354573,0.001364768595167649,3 seeds x 5-fold
MLP + MSE (Ordinal),0.8831494028546331,0.0010640969165125853,0.7444613050075871,0.0016249244718471996,0.5491381697973979,0.006908887857855949,0.29357612544258976,0.001826552360674536,3 seeds x 5-fold
MLP + Weighted CE,0.8607145505940919,0.001438340192684849,0.7679312089023774,0.0022209912392615314,0.6156358927649385,0.004625597262234128,0.3074355083459787,0.002160258624589059,3 seeds x 5-fold
Vanilla CapsNet,0.8696379248328799,0.002574848673235758,0.806069802731411,0.0046425063856686665,0.6301045191075909,0.004445026390270812,0.2632271117855336,0.003472129954826623,3 seeds x 5-fold
Ordinal CapsNet,0.8931741632055218,0.0004066615301215222,0.7931208902377339,0.002063336171408333,0.6255000057301469,0.0021626558744558375,0.2536165907941325,0.0021075029495194507,3 seeds x 5-fold
+ Asymmetric loss,0.8922654773386709,0.0014351988092369693,0.7910976226605969,0.002543207908948177,0.6201002773535117,0.0018946423690950685,0.2564491654021244,0.0039879420019073505,3 seeds x 5-fold
+ KC Loss (gamma=0.3),0.8913766312236623,0.000647809869051017,0.7818917551846232,0.0024821131302751737,0.6129799385063875,0.002764715544053426,0.2641375821952453,0.002956325583450151,3 seeds x 5-fold
Ordinal CapsNet + LoRA,0.9127332751958098,0.0007978866098548776,0.8236722306525038,0.0067907684155137996,0.6626872626404486,0.010531987145953626,0.2137582195245321,0.005786686756125469,"3 seeds x 5-fold, LoRA r=8"
+ Non-uniform squash,0.889358921084724,0.0005762680411516868,0.7857359635811836,0.00585874850200115,0.6097231101719575,0.009499375345348005,0.264339908952959,0.004460375859392728,3 seeds x 5-fold
