dataset,model,n,level,prevalence,auroc_head,sensitivity,specificity,ppv,npv,balanced_accuracy,argmax_sensitivity,argmax_specificity
APTOS,RETFound x Ordinal CapsNet,9885,any DR (>=1),0.507132,0.990651,0.973070,0.967775,0.968818,0.972165,0.970423,0.968482,0.972701
APTOS,RETFound x Ordinal CapsNet,9885,rDR (>=2),0.406070,0.976347,0.947683,0.908874,0.876700,0.962135,0.928279,0.943946,0.907171
APTOS,RETFound x Ordinal CapsNet,9885,vtDR (>=3),0.133232,0.931471,0.703113,0.946895,0.670529,0.954022,0.825004,0.681093,0.951914
APTOS,RETFound x Ordinal CapsNet,9885,PDR (>=4),0.080425,0.896940,0.498113,0.971947,0.608295,0.956790,0.735030,0.593711,0.953575
APTOS,RETFound x MLP + K-1 sigmoid,9885,any DR (>=1),0.507132,0.991930,0.971075,0.973112,0.973795,0.970323,0.972093,0.966088,0.975575
APTOS,RETFound x MLP + K-1 sigmoid,9885,rDR (>=2),0.406070,0.977269,0.938964,0.913473,0.881225,0.956312,0.926218,0.935476,0.915517
APTOS,RETFound x MLP + K-1 sigmoid,9885,vtDR (>=3),0.133232,0.928614,0.637054,0.954599,0.683225,0.944785,0.795826,0.588459,0.964169
APTOS,RETFound x MLP + K-1 sigmoid,9885,PDR (>=4),0.080425,0.896744,0.433962,0.977778,0.630713,0.951810,0.705870,0.501887,0.966557
APTOS,DINOv2  x Ordinal CapsNet,9885,any DR (>=1),0.507132,0.996889,0.988829,0.974548,0.975595,0.988343,0.981689,0.986435,0.975780
APTOS,DINOv2  x Ordinal CapsNet,9885,rDR (>=2),0.406070,0.978405,0.957399,0.914325,0.884261,0.969128,0.935862,0.955904,0.912451
APTOS,DINOv2  x Ordinal CapsNet,9885,vtDR (>=3),0.133232,0.940652,0.723614,0.943161,0.661806,0.956898,0.833387,0.694002,0.950980
APTOS,DINOv2  x Ordinal CapsNet,9885,PDR (>=4),0.080425,0.911323,0.529560,0.975688,0.655763,0.959537,0.752624,0.602516,0.958196
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,any DR (>=1),0.507132,0.997154,0.987034,0.977833,0.978639,0.986540,0.982433,0.982246,0.980090
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,rDR (>=2),0.406070,0.980766,0.954410,0.915517,0.885371,0.967074,0.934963,0.951669,0.917220
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,vtDR (>=3),0.133232,0.941915,0.680334,0.954365,0.696193,0.951035,0.817350,0.620349,0.963702
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,PDR (>=4),0.080425,0.921013,0.459119,0.980528,0.673432,0.953976,0.719824,0.547170,0.965677
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,any DR (>=1),0.507132,0.994482,0.980850,0.978654,0.979287,0.980263,0.979752,0.978855,0.980090
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,rDR (>=2),0.406070,0.980836,0.953662,0.930506,0.903683,0.967074,0.942084,0.953413,0.930847
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,vtDR (>=3),0.133232,0.942570,0.729689,0.954949,0.713437,0.958304,0.842319,0.690964,0.961485
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,PDR (>=4),0.080425,0.922982,0.587421,0.975028,0.672911,0.964313,0.781224,0.647799,0.963146
Messidor-2,RETFound x Ordinal CapsNet,1744,any DR (>=1),0.416858,0.787454,0.755158,0.698132,0.641355,0.799550,0.726645,0.646492,0.786627
Messidor-2,RETFound x Ordinal CapsNet,1744,rDR (>=2),0.262041,0.819644,0.638950,0.853147,0.607069,0.869359,0.746048,0.665208,0.812743
Messidor-2,RETFound x Ordinal CapsNet,1744,vtDR (>=3),0.063073,0.909080,0.463636,0.983476,0.653846,0.964586,0.723556,0.454545,0.979804
Messidor-2,RETFound x Ordinal CapsNet,1744,PDR (>=4),0.020069,0.913868,0.314286,0.995904,0.611111,0.986095,0.655095,0.428571,0.987127
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,any DR (>=1),0.416858,0.788152,0.722146,0.731563,0.657895,0.786469,0.726855,0.588721,0.813176
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,rDR (>=2),0.262041,0.824964,0.619256,0.851593,0.597046,0.862992,0.735424,0.652079,0.818959
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,vtDR (>=3),0.063073,0.909263,0.472727,0.980416,0.619048,0.965060,0.726572,0.481818,0.982252
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,PDR (>=4),0.020069,0.904623,0.314286,0.996489,0.647059,0.986103,0.655387,0.371429,0.991223
Messidor-2,DINOv2  x Ordinal CapsNet,1744,any DR (>=1),0.416858,0.842416,0.727648,0.827925,0.751420,0.809615,0.777787,0.669876,0.865290
Messidor-2,DINOv2  x Ordinal CapsNet,1744,rDR (>=2),0.262041,0.892609,0.719912,0.949495,0.835025,0.905185,0.834704,0.733042,0.919192
Messidor-2,DINOv2  x Ordinal CapsNet,1744,vtDR (>=3),0.063073,0.980922,0.818182,0.977968,0.714286,0.987639,0.898075,0.800000,0.979192
Messidor-2,DINOv2  x Ordinal CapsNet,1744,PDR (>=4),0.020069,0.907565,0.428571,0.996489,0.714286,0.988392,0.712530,0.457143,0.994734
Messidor-2,DINOv2  x MLP + K-1 sigmoid,1744,any DR (>=1),0.416858,0.845551,0.698762,0.855457,0.775573,0.798898,0.777110,0.645117,0.898722
Messidor-2,DINOv2  x MLP + K-1 sigmoid,1744,rDR (>=2),0.262041,0.915048,0.743982,0.927739,0.785219,0.910755,0.835861,0.774617,0.912199
