component,tier,trainable,frozen,total,fwd_gflops_per_sample,batch_size,ms_per_step,images_per_s,peak_mem_mib
Ordinal CapsNet head,frozen,295168,0,295168,0.000590,1,6.5329,153.0723,23.14
Ordinal CapsNet head,frozen,295168,0,295168,0.000590,8,6.7148,1191.4067,23.22
Ordinal CapsNet head,frozen,295168,0,295168,0.000590,32,6.7987,4706.7507,26.84
Ordinal CapsNet head,frozen,295168,0,295168,0.000590,64,6.6743,9588.9830,32.37
MLP + K-1 sigmoid head,frozen,329220,0,329220,0.000657,1,2.1728,460.2378,26.05
MLP + K-1 sigmoid head,frozen,329220,0,329220,0.000657,8,2.2624,3536.0132,26.07
MLP + K-1 sigmoid head,frozen,329220,0,329220,0.000657,32,2.2593,14163.9684,26.17
MLP + K-1 sigmoid head,frozen,329220,0,329220,0.000657,64,2.2428,28535.9701,26.29
RETFound ViT-L/16 (frozen),frozen,0,304326632,304326632,123.109425,1,13.9551,71.6584,1227.99
RETFound ViT-L/16 (frozen),frozen,0,304326632,304326632,123.109425,8,64.4922,124.0460,1297.40
RETFound ViT-L/16 (frozen),frozen,0,304326632,304326632,123.109425,32,231.5262,138.2133,1533.05
RETFound ViT-L/16 (frozen),frozen,0,304326632,304326632,123.109425,64,445.2837,143.7286,1848.68
DINOv2 ViT-L/14 (frozen),frozen,0,304368640,304368640,162.023965,1,19.0436,52.5112,1229.90
DINOv2 ViT-L/14 (frozen),frozen,0,304368640,304368640,162.023965,8,89.8991,88.9887,1310.53
DINOv2 ViT-L/14 (frozen),frozen,0,304368640,304368640,162.023965,32,303.8095,105.3292,1589.34
DINOv2 ViT-L/14 (frozen),frozen,0,304368640,304368640,162.023965,64,598.2779,106.9737,1963.09
RETFound+LoRA r=8 + Ordinal head,lora,1081600,303301632,304383232,123.417821,1,71.1959,14.0458,1446.41
RETFound+LoRA r=8 + Ordinal head,lora,1081600,303301632,304383232,123.417821,8,136.8947,58.4391,2946.69
RETFound+LoRA r=8 + Ordinal head,lora,1081600,303301632,304383232,123.417821,32,505.9313,63.2497,8105.72
RETFound+LoRA r=8 + Ordinal head,lora,1081600,303301632,304383232,123.417821,64,978.4705,65.4082,15018.87
RETFound full fine-tune + head,full-ft,304383232,0,304383232,123.417821,1,64.3946,15.5292,5833.17
RETFound full fine-tune + head,full-ft,304383232,0,304383232,123.417821,8,213.0266,37.5540,7244.99
RETFound full fine-tune + head,full-ft,304383232,0,304383232,123.417821,32,741.5844,43.1509,14960.87
RETFound full fine-tune + head,full-ft,304383232,0,304383232,123.417821,64,1425.7027,44.8901,25292.64
