dataset,model,n,continuous_violation_rate,variant,qwk,accuracy,macro_f1,ece,mce,aurc,renorm_rate
APTOS,RETFound x Ordinal CapsNet,9885,0.555690,A product+clip+renorm,0.880555,0.801517,0.628229,0.146910,0.224736,0.058994,1.000000
APTOS,RETFound x Ordinal CapsNet,9885,0.555690,B difference+clip+renorm,0.871974,0.797066,0.613848,0.082593,0.127200,0.059903,0.554780
APTOS,RETFound x Ordinal CapsNet,9885,0.555690,C projection+difference,0.872074,0.797471,0.615154,0.071527,0.123537,0.059419,0.000000
APTOS,RETFound x MLP + K-1 sigmoid,9885,0.461811,A product+clip+renorm,0.876573,0.805058,0.628161,0.102609,0.174553,0.061607,0.860496
APTOS,RETFound x MLP + K-1 sigmoid,9885,0.461811,B difference+clip+renorm,0.872903,0.805564,0.623389,0.056550,0.095410,0.059132,0.313505
APTOS,RETFound x MLP + K-1 sigmoid,9885,0.461811,C projection+difference,0.873029,0.805665,0.623441,0.055203,0.093220,0.059041,0.000000
APTOS,DINOv2  x Ordinal CapsNet,9885,0.567122,A product+clip+renorm,0.896588,0.809712,0.635797,0.123784,0.190593,0.049808,1.000000
APTOS,DINOv2  x Ordinal CapsNet,9885,0.567122,B difference+clip+renorm,0.888593,0.807891,0.626343,0.070023,0.106954,0.049854,0.566110
APTOS,DINOv2  x Ordinal CapsNet,9885,0.567122,C projection+difference,0.888070,0.808194,0.627031,0.058001,0.096162,0.049472,0.000000
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,0.444714,A product+clip+renorm,0.894436,0.814669,0.633161,0.106029,0.169365,0.049851,1.000000
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,0.444714,B difference+clip+renorm,0.886168,0.814871,0.619183,0.058372,0.114013,0.048056,0.442387
APTOS,DINOv2  x MLP + K-1 sigmoid,9885,0.444714,C projection+difference,0.886225,0.815073,0.619576,0.056161,0.118173,0.047826,0.000000
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,0.562064,A product+clip+renorm,0.907128,0.828326,0.663926,0.133892,0.181077,0.048479,1.000000
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,0.562064,B difference+clip+renorm,0.903653,0.826302,0.651757,0.066870,0.093048,0.048226,0.560445
APTOS,RETFound x Ordinal CapsNet + LoRA,9885,0.562064,C projection+difference,0.903621,0.826201,0.651646,0.054853,0.090879,0.048335,0.000000
Messidor-2,RETFound x Ordinal CapsNet,1744,0.377867,A product+clip+renorm,0.552037,0.604358,0.418405,0.105439,0.188050,0.231926,1.000000
Messidor-2,RETFound x Ordinal CapsNet,1744,0.377867,B difference+clip+renorm,0.530050,0.618119,0.377577,0.049418,0.112324,0.222655,0.376720
Messidor-2,RETFound x Ordinal CapsNet,1744,0.377867,C projection+difference,0.537692,0.618119,0.379086,0.045920,0.091106,0.224157,0.000000
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,0.041858,A product+clip+renorm,0.548953,0.610092,0.427399,0.086045,0.154478,0.233934,1.000000
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,0.041858,B difference+clip+renorm,0.534511,0.621560,0.399722,0.037693,0.086969,0.222942,0.041284
Messidor-2,RETFound x MLP + K-1 sigmoid,1744,0.041858,C projection+difference,0.534511,0.621560,0.399722,0.038719,0.086985,0.223010,0.000000
Messidor-2,DINOv2  x Ordinal CapsNet,1744,0.621560,A product+clip+renorm,0.730056,0.693807,0.571917,0.120703,0.182122,0.179571,1.000000
Messidor-2,DINOv2  x Ordinal CapsNet,1744,0.621560,B difference+clip+renorm,0.723458,0.691514,0.536079,0.069398,0.099222,0.173314,0.619839
Messidor-2,DINOv2  x Ordinal CapsNet,1744,0.621560,C projection+difference,0.724647,0.693234,0.537576,0.057974,0.093863,0.176215,0.000000
Messidor-2,DINOv2  x MLP + K-1 sigmoid,1744,0.485092,A product+clip+renorm,0.751545,0.704128,0.555824,0.083512,0.131764,0.187033,0.999427
Messidor-2,DINOv2  x MLP + K-1 sigmoid,1744,0.485092,B difference+clip+renorm,0.743795,0.708716,0.540442,0.030736,0.077088,0.178325,0.479931
Messidor-2,DINOv2  x MLP + K-1 sigmoid,1744,0.485092,C projection+difference,0.743733,0.708716,0.540544,0.032893,0.101602,0.177888,0.000000
