dataset,model,alpha,score,coverage_mean,coverage_std,set_size_mean,set_size_std,noncontiguous_rate_mean,worst_class_coverage_mean
APTOS,RETFound x Ordinal CapsNet,0.10,lac,0.903459,0.006191,1.376937,0.016339,0.050900,0.701473
APTOS,RETFound x Ordinal CapsNet,0.10,aps,0.943314,0.003645,1.814161,0.032929,0.121788,0.801126
APTOS,RETFound x Ordinal CapsNet,0.10,raps,0.939955,0.004241,1.785798,0.029816,0.126158,0.785039
APTOS,RETFound x Ordinal CapsNet,0.10,ocp,0.942626,0.003659,1.880194,0.035005,0.000000,0.768533
APTOS,RETFound x Ordinal CapsNet,0.05,lac,0.952215,0.002639,1.795509,0.016199,0.062877,0.814021
APTOS,RETFound x Ordinal CapsNet,0.05,aps,0.966822,0.002481,2.220554,0.046458,0.154764,0.864688
APTOS,RETFound x Ordinal CapsNet,0.05,raps,0.963504,0.001671,2.173215,0.034103,0.162492,0.851169
APTOS,RETFound x Ordinal CapsNet,0.05,ocp,0.967591,0.002150,2.286789,0.049145,0.000000,0.837655
APTOS,RETFound x MLP + K-1 sigmoid,0.10,lac,0.902084,0.005657,1.366336,0.018939,0.023346,0.668601
APTOS,RETFound x MLP + K-1 sigmoid,0.10,aps,0.939106,0.002765,1.866114,0.025439,0.083957,0.769280
APTOS,RETFound x MLP + K-1 sigmoid,0.10,raps,0.935788,0.001883,1.822577,0.018836,0.086951,0.754795
APTOS,RETFound x MLP + K-1 sigmoid,0.10,ocp,0.937649,0.003381,1.908922,0.027394,0.000000,0.734285
APTOS,RETFound x MLP + K-1 sigmoid,0.05,lac,0.951446,0.002549,1.820838,0.018379,0.013231,0.801499
APTOS,RETFound x MLP + K-1 sigmoid,0.05,aps,0.966822,0.001863,2.365729,0.029120,0.069229,0.872661
APTOS,RETFound x MLP + K-1 sigmoid,0.05,raps,0.963342,0.001770,2.296015,0.033464,0.073154,0.853072
APTOS,RETFound x MLP + K-1 sigmoid,0.05,ocp,0.966539,0.001724,2.394295,0.030222,0.000000,0.852677
APTOS,DINOv2  x Ordinal CapsNet,0.10,lac,0.905806,0.003043,1.321667,0.008515,0.022901,0.675020
APTOS,DINOv2  x Ordinal CapsNet,0.10,aps,0.948331,0.003916,1.761279,0.015920,0.081246,0.818765
APTOS,DINOv2  x Ordinal CapsNet,0.10,raps,0.944770,0.003436,1.736719,0.018017,0.083188,0.809432
APTOS,DINOv2  x Ordinal CapsNet,0.10,ocp,0.948048,0.003990,1.810722,0.017130,0.000000,0.804186
APTOS,DINOv2  x Ordinal CapsNet,0.05,lac,0.952458,0.003402,1.674408,0.017322,0.035404,0.813484
APTOS,DINOv2  x Ordinal CapsNet,0.05,aps,0.972446,0.002642,2.078454,0.029498,0.124337,0.889694
APTOS,DINOv2  x Ordinal CapsNet,0.05,raps,0.968643,0.002720,2.035404,0.033218,0.137326,0.878223
APTOS,DINOv2  x Ordinal CapsNet,0.05,ocp,0.972729,0.002258,2.190208,0.033068,0.000000,0.873229
APTOS,DINOv2  x MLP + K-1 sigmoid,0.10,lac,0.900182,0.002207,1.290593,0.011354,0.017843,0.653722
APTOS,DINOv2  x MLP + K-1 sigmoid,0.10,aps,0.945418,0.003230,1.803884,0.021400,0.072911,0.810702
APTOS,DINOv2  x MLP + K-1 sigmoid,0.10,raps,0.942505,0.003258,1.770301,0.017217,0.076593,0.800199
APTOS,DINOv2  x MLP + K-1 sigmoid,0.10,ocp,0.946429,0.003420,1.839692,0.023442,0.000000,0.791084
APTOS,DINOv2  x MLP + K-1 sigmoid,0.05,lac,0.949545,0.002426,1.648594,0.013111,0.017641,0.797688
APTOS,DINOv2  x MLP + K-1 sigmoid,0.05,aps,0.969937,0.001900,2.198705,0.028708,0.096824,0.887903
APTOS,DINOv2  x MLP + K-1 sigmoid,0.05,raps,0.965365,0.002243,2.134534,0.035607,0.107303,0.872648
APTOS,DINOv2  x MLP + K-1 sigmoid,0.05,ocp,0.970059,0.002827,2.231803,0.037489,0.000000,0.886862
APTOS,RETFound x Ordinal CapsNet + LoRA,0.10,lac,0.902610,0.007104,1.275582,0.019581,0.007364,0.675827
APTOS,RETFound x Ordinal CapsNet + LoRA,0.10,aps,0.942302,0.004506,1.692049,0.020148,0.048837,0.788617
APTOS,RETFound x Ordinal CapsNet + LoRA,0.10,raps,0.939268,0.004918,1.663322,0.018909,0.049646,0.783063
APTOS,RETFound x Ordinal CapsNet + LoRA,0.10,ocp,0.943031,0.004331,1.711916,0.021878,0.000000,0.794343
APTOS,RETFound x Ordinal CapsNet + LoRA,0.05,lac,0.948129,0.004720,1.646895,0.024575,0.018086,0.800562
APTOS,RETFound x Ordinal CapsNet + LoRA,0.05,aps,0.964151,0.002112,1.994214,0.025058,0.100303,0.855010
