align,correct,qwk,qwk_std,accuracy,macro_f1,mae,rdr_sensitivity,rdr_specificity
none,rank(oracle),0.261906,0.041409,0.449083,0.294345,0.864908,0.384245,0.781352
none,rank(src prior),0.226618,0.035429,0.400000,0.250823,1.054931,0.530853,0.638384
CORAL,rank(oracle),0.222868,0.010505,0.460550,0.299933,0.871560,0.385120,0.781663
z-score,rank(oracle),0.221166,0.017842,0.453670,0.291414,0.881193,0.370241,0.776379
z-score,oracle,0.195086,0.011319,0.445069,0.255574,0.985550,0.367615,0.771562
z-score,rank(src prior),0.192385,0.014720,0.404587,0.252089,1.071445,0.507659,0.630148
CORAL,oracle,0.188172,0.014060,0.456881,0.288100,0.941743,0.402626,0.737374
CORAL,rank(src prior),0.186045,0.010520,0.408257,0.247290,1.074656,0.522976,0.635587
CORAL,none,0.174249,0.021115,0.446330,0.250473,1.082454,0.466521,0.686713
z-score,none,0.142024,0.016460,0.395413,0.212160,1.299197,0.502407,0.633100
CORAL,EM/SLD,0.139916,0.038384,0.388188,0.193344,1.422477,0.496280,0.653458
CORAL,BBSE,0.118896,0.050985,0.325000,0.170181,1.253670,0.442013,0.674747
z-score,BBSE,0.065112,0.027090,0.253670,0.142911,1.533601,0.540481,0.536441
none,BBSE,0.049394,0.023637,0.508028,0.150926,0.958028,0.178993,0.858275
none,none,0.013164,0.009006,0.583486,0.155926,0.759404,0.005252,0.999845
z-score,EM/SLD,0.006069,0.005273,0.039335,0.023251,3.133257,0.982495,0.030769
none,oracle,0.001538,0.001256,0.583142,0.147370,0.761697,0.001313,1.000000
none,EM/SLD,0.000513,0.001025,0.583142,0.147349,0.761927,0.000438,1.000000
